Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Visibility (km),Pressure (millibars),Tree count
15.02222222,15.02222222,0.55,21.3808,9.982,1008.15,159
14.42222222,14.42222222,0.58,20.0123,15.8263,1007.85,159
14.25555556,14.25555556,0.59,16.5025,14.9569,1007.89,168
13.77222222,13.77222222,0.6,17.0982,15.8263,1007.36,160
13.28333333,13.28333333,0.63,14.3612,15.8263,1007.26,160
8.633333333,5.466666667,0.87,22.0409,6.6976,1005.1,32
11.25,11.25,0.83,11.3344,15.8263,1007.01,152
11.18333333,11.18333333,0.89,11.2056,9.9015,1006.73,180
10.69444444,10.69444444,0.95,10.4006,6.6976,1006.59,161
11.11111111,11.11111111,0.93,12.0106,5.9731,1006.34,140
11.11111111,11.11111111,0.93,9.2092,10.8031,1006.09,103
12.16666667,12.16666667,0.82,9.9015,10.6743,1005.97,113
12.75555556,12.75555556,0.79,13.8299,10.8192,1005.63,129
13.83888889,13.83888889,0.84,9.0965,10.8192,1005.83,159
16.18333333,16.18333333,0.73,0.644,10.7548,1005.97,207
17.51666667,17.51666667,0.67,0.6762,10.8997,1005.64,153
17.38333333,17.38333333,0.67,3.864,10.8514,1005.2,4
17.36111111,17.36111111,0.71,7.8246,11.0768,1005.1,341
17.20555556,17.20555556,0.74,15.5848,10.8514,1004.65,15
15.63333333,15.63333333,0.81,23.6992,10.8836,1004.04,348
13.57777778,13.57777778,0.9,20.9622,7.6153,1004.08,321
10.91111111,10.91111111,0.86,22.3951,2.6565,1004.61,311
8.8,5.294444444,0.99,26.5006,2.6565,1004.99,339
8.961111111,5.777777778,0.93,23.2162,3.8157,1004.85,340
8.2,4.605555556,0.96,25.4219,4.4919,1004.96,330
7.688888889,3.722222222,0.96,28.1267,4.4436,1005.14,339
7.766666667,4.65,0.96,19.2878,5.6833,1005.05,339
8.2,5.072222222,0.96,20.447,3.1073,1004.8,341
8.177777778,4.372222222,0.93,27.8691,3.2039,1004.89,19
7.311111111,6.183333333,0.82,6.7459,14.0553,1007,277
7.644444444,5.038888889,0.93,14.9086,6.118,1004.3,9
6.622222222,2.616666667,0.93,25.0355,6.118,1003.68,0
6.683333333,3.222222222,0.93,19.8352,6.1663,1003.86,350
6.088888889,1.65,0.93,28.0945,7.9695,1003.57,349
6.066666667,1.633333333,0.93,27.9818,6.3434,1003.96,348
6.144444444,1.494444444,0.93,30.8637,10.5455,1004.1,349
7.133333333,2.688888889,0.8,32.1678,11.2056,1004.26,349
7.205555556,3.233333333,0.86,26.5328,11.27,1004.18,339
7.566666667,3.544444444,0.84,28.336,10.5455,1004.23,339
8.9,5.161111111,0.77,29.8333,11.27,1004.47,348
9.961111111,6.644444444,0.71,28.4809,11.27,1004.52,339
9.888888889,6.55,0.71,28.5131,11.0768,1004.29,338
11.06666667,11.06666667,0.71,25.6956,11.27,1003.93,320
10.11666667,10.11666667,0.76,25.3414,11.27,1004,311
11.03888889,11.03888889,0.66,21.413,9.982,1004.3,311
10.65,10.65,0.7,17.8549,14.9086,1004,310
10.05,10.05,0.7,15.1984,9.982,1004.39,328
9.9,7.716666667,0.66,15.7297,11.0285,1005.48,348
8.794444444,6.816666667,0.71,12.3648,9.982,1005.89,20
7.827777778,5.405555556,0.72,13.8943,15.8263,1006.37,28
7.855555556,6.122222222,0.72,9.8049,15.0052,1006.56,11
7.316666667,6.211111111,0.75,6.6654,15.8746,1007.07,326
7.244444444,6.005555556,0.75,7.1162,15.8746,1007.37,309
5.438888889,5.438888889,0.88,3.7191,9.982,1012.23,193
7.2,4.55,0.76,14.4739,15.8263,1007.28,273
6.688888889,3.161111111,0.7,20.5275,15.8263,1007.18,300
6.211111111,2.694444444,0.73,19.3039,14.9569,1007.39,309
6.111111111,2.8,0.76,17.4363,9.982,1007.67,300
6.111111111,2.438888889,0.76,20.4148,9.982,1007.98,300
6.172222222,2.922222222,0.76,17.0499,9.982,1008.57,307
7.222222222,3.833333333,0.71,20.5114,9.982,1008.87,319
7.288888889,4.244444444,0.73,17.6456,9.982,1009.44,328
7.405555556,4.816666667,0.72,14.4095,9.982,1010.03,318
7.961111111,6.072222222,0.7,10.7548,10.0464,1010.22,321
8.033333333,7.583333333,0.7,4.8622,10.0464,1010.39,349
9.077777778,9.077777778,0.65,2.3828,10.0303,1010.24,348
9.05,9.05,0.62,0.322,9.982,1010,243
9.05,9.05,0.65,3.2522,11.2056,1009.98,177
9.183333333,9.183333333,0.65,3.0107,11.0285,1010.05,170
9.072222222,7.455555556,0.7,10.465,9.982,1010.1,172
7.983333333,6.811111111,0.75,7.3416,9.982,1010.39,172
8.072222222,6.433333333,0.75,9.5151,9.982,1010.91,150
7.894444444,6.127777778,0.82,9.9981,9.982,1011.32,142
7.311111111,4.805555556,0.83,13.685,11.9784,1011.61,141
7.338888889,5.183333333,0.84,11.5437,14.168,1011.97,141
6.622222222,4.111111111,0.85,12.719,14.9086,1012.22,142
6.066666667,3.411111111,0.88,12.8961,14.9086,1012.74,130
8.338888889,8.338888889,0.88,0.6923,15.0052,1015.35,359
5.183333333,4.111111111,0.91,5.5384,9.982,1013.29,166
3.722222222,2.566666667,0.94,5.2003,9.982,1013.39,145
4.855555556,3.705555556,0.93,5.6189,5.9248,1013.45,170
5.211111111,5.211111111,0.92,4.7656,1.2236,1013.4,178
6.255555556,4.638888889,0.92,7.9212,7.2128,1013.81,223
7.794444444,6.055555556,0.87,9.7566,10.6743,1014.7,240
10.05,10.05,0.76,9.6922,11.2056,1014.67,231
12.2,12.2,0.66,14.49,9.982,1014.66,230
12.7,12.7,0.63,20.3343,11.0285,1014.8,214
13.93333333,13.93333333,0.58,23.5865,11.27,1014.47,222
15.09444444,15.09444444,0.59,22.2985,11.27,1014.16,241
15.15,15.15,0.5,14.7154,11.4471,1014.07,235
16.17777778,16.17777778,0.44,14.49,11.27,1013.34,238
16.25,16.25,0.55,14.7154,11.27,1012.72,211
16.29444444,16.29444444,0.5,19.5937,11.4471,1012.38,221
16.1,16.1,0.56,14.8281,11.1251,1012.38,215
12.95555556,12.95555556,0.68,11.9784,11.27,1012.72,224
13.85,13.85,0.64,11.5598,11.4471,1013.42,231
12.77777778,12.77777778,0.69,14.2485,10.0464,1014.41,358
12.15,12.15,0.72,11.2539,15.8746,1014.89,8
10.67777778,10.67777778,0.81,5.7799,15.0052,1014.91,59
10.44444444,10.44444444,0.83,2.6404,15.8746,1014.75,63
9.822222222,9.466666667,0.8,5.313,15.8746,1015.55,65
11.02777778,11.02777778,0.74,11.3827,14.9569,1015.7,146
7.138888889,7.138888889,0.93,3.6547,14.9086,1016.43,305
7.622222222,5.644444444,0.89,10.8675,14.9086,1016.56,327
7.627777778,6.611111111,0.86,6.5205,13.3791,1017.15,319
7.044444444,4.855555556,0.86,11.3988,9.982,1017.37,271
8.6,7.038888889,0.84,9.66,9.982,1018.25,297
9.65,7.383333333,0.84,15.9551,9.982,1019.24,289
12.10555556,12.10555556,0.72,13.1698,9.982,1019.83,310
12.77777778,12.77777778,0.71,13.1698,11.2056,1020.51,301
13.81111111,13.81111111,0.65,9.6761,11.4471,1020.91,307
16.01666667,16.01666667,0.48,11.2378,11.27,1020.6,307
17.12777778,17.12777778,0.47,12.7029,11.27,1020.39,308
17.14444444,17.14444444,0.43,10.6099,11.4471,1020.34,279
17.77777778,17.77777778,0.4,7.9534,11.2056,1019.7,272
17.77777778,17.77777778,0.37,2.5921,11.2056,1018.89,351
17.80555556,17.80555556,0.43,11.0124,10.3523,1018.48,175
16.15555556,16.15555556,0.52,9.1931,9.982,1017.87,172
14.05,14.05,0.63,9.1609,9.982,1017.56,160
13.08888889,13.08888889,0.67,9.2736,9.982,1017.38,138
12.28888889,12.28888889,0.72,9.4507,9.982,1017.58,141
12.77777778,12.77777778,0.66,11.0768,15.8263,1017.65,141
12.72777778,12.72777778,0.67,13.3791,14.9569,1017.36,149
12.26666667,12.26666667,0.69,14.1358,15.8263,1016.8,151
11.71111111,11.71111111,0.71,11.3183,15.8263,1016.64,158
10.82777778,10.82777778,0.86,9.177,14.168,1013.13,259
12.2,12.2,0.59,14.168,15.8263,1014.79,141
12.2,12.2,0.6,14.2968,15.8263,1014.25,151
11.68888889,11.68888889,0.68,13.8299,14.9569,1013.95,152
11.20555556,11.20555556,0.77,14.007,9.982,1013.63,132
11.13333333,11.13333333,0.77,15.4882,9.982,1013.27,150
11.43888889,11.43888889,0.77,13.8782,10.3523,1013.56,163
13.03333333,13.03333333,0.81,14.4578,9.982,1012.85,209
17.24444444,17.24444444,0.62,25.0194,11.27,1012.15,221
17.73888889,17.73888889,0.53,27.37,11.4471,1011.71,230
17.84444444,17.84444444,0.56,22.218,11.27,1011.28,251
18.86111111,18.86111111,0.56,23.5382,11.27,1010.99,250
18.66666667,18.66666667,0.56,19.8996,11.3988,1010.93,240
17.82222222,17.82222222,0.56,17.5007,11.27,1010.7,243
17.8,17.8,0.59,17.6939,11.27,1010.52,281
17.35,17.35,0.57,19.5615,11.3988,1010.69,295
16.06666667,16.06666667,0.67,21.8155,11.2056,1010.86,280
14.93333333,14.93333333,0.73,17.2753,11.2056,1011.14,280
13.92222222,13.92222222,0.78,11.7691,11.2861,1011.64,279
12.75555556,12.75555556,0.84,11.0446,11.0768,1012.02,270
12.75555556,12.75555556,0.84,11.0607,15.6975,1012.21,277
12.37222222,12.37222222,0.86,7.2933,14.8764,1012.33,239
11.18333333,11.18333333,0.93,6.923,15.8263,1012.6,241
11.66666667,11.66666667,0.9,11.1734,15.8263,1012.8,242
8.977777778,7.366666667,0.95,10.3201,6.8425,1012.66,266
10.57777778,10.57777778,0.93,11.1734,14.9086,1012.32,278
10.53333333,10.53333333,0.89,14.007,14.9086,1012.33,269
10.58888889,10.58888889,0.87,7.2933,14.168,1012.55,269
